Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,Teleperformance (TP),1-5 Yrs,New Delhi,3.9,Disclosed,1.0,5.0,7.0,9.0
Data Analyst,Accenture,1-6 Yrs,New Delhi,3.9,Not Disclosed,1.0,6.0,,
Data Analyst,DCDC KIDNEY CARE (DCDC ),1-3 Yrs,New Delhi,4.3,Disclosed,1.0,3.0,3.0,4.25
Data Analyst,Confidential,0-1 Yrs,New Delhi,Not Rated,Disclosed,0.0,1.0,2.25,3.0
Data Analyst,Legistify,0-2 Yrs,New Delhi,3.1,Not Disclosed,0.0,2.0,,
Data Analyst,Orange Business Services,2-6 Yrs,New Delhi,4.3,Disclosed,2.0,6.0,10.0,13.0
Data Analyst,Confidential,1-2 Yrs,Remote,Not Rated,Not Disclosed,1.0,2.0,,
Data Analyst,Wipro,3-7 Yrs,New Delhi,3.7,Not Disclosed,3.0,7.0,,
Data Analyst,Legistify,0-1 Yrs,New Delhi,3.1,Not Disclosed,0.0,1.0,,
Data Analyst,Confidential,0-5 Yrs,New Delhi,Not Rated,Not Disclosed,0.0,5.0,,
Data Analyst,Confidential,1-3 Yrs,New Delhi,Not Rated,Disclosed,1.0,3.0,1.5,4.0
Data Analyst,TractorJunction,5-10 Yrs,New Delhi,3.3,Disclosed,5.0,10.0,8.0,15.0
Data Analyst,Groundtruth,2-6 Yrs,Remote,3.4,Not Disclosed,2.0,6.0,,
Data Analyst,NTT DATA,2-5 Yrs,New Delhi,3.9,Not Disclosed,2.0,5.0,,
Data Analyst,Confidential,2-5 Yrs,New Delhi,Not Rated,Not Disclosed,2.0,5.0,,
Data Analyst,Probo,2-4 Yrs,New Delhi,4.0,Not Disclosed,2.0,4.0,,
Data Analyst,Service Equipment Company,3-8 Yrs,New Delhi,2.9,Not Disclosed,3.0,8.0,,
Data Analyst,Magic Bus,3-8 Yrs,New Delhi,3.9,Not Disclosed,3.0,8.0,,
Data Analyst,Gemini Solutions,3-5 Yrs,"New Delhi, Bangalore",3.3,Not Disclosed,3.0,5.0,,
Data Analyst,Bm2k Global,5-8 Yrs,New Delhi,4.1,Not Disclosed,5.0,8.0,,
Data Analyst,Peroptyx,0-5 Yrs,Remote,3.0,Disclosed,0.0,5.0,,
Data Analyst,IIFL Finance,0-3 Yrs,New Delhi,4.0,Disclosed,0.0,3.0,6.0,11.0
Data Analyst,Foundation Ai,0-5 Yrs,"New Delhi, Pune, Bangalore",3.6,Not Disclosed,0.0,5.0,,
Data Analyst,Incanus Technologies,1-6 Yrs,"New Delhi, Pune, Bangalore",3.8,Disclosed,1.0,6.0,5.0,15.0
